year,freq_desc,reference_period_desc,state_name,state_alpha,state_fips,short_desc,unit_desc,value
2015,ANNUAL,YEAR,ALASKA,AK,02,"CATTLE, COWS, MILK, LICENSED HERD - OPERATIONS WITH INVENTORY, AVG",OPERATIONS,2
2015,ANNUAL,YEAR,ALABAMA,AL,01,"CATTLE, COWS, MILK, LICENSED HERD - OPERATIONS WITH INVENTORY, AVG",OPERATIONS,35
2015,ANNUAL,YEAR,ARKANSAS,AR,05,"CATTLE, COWS, MILK, LICENSED HERD - OPERATIONS WITH INVENTORY, AVG",OPERATIONS,70
2015,ANNUAL,YEAR,ARIZONA,AZ,04,"CATTLE, COWS, MILK, LICENSED HERD - OPERATIONS WITH INVENTORY, AVG",OPERATIONS,110
2015,ANNUAL,YEAR,CALIFORNIA,CA,06,"CATTLE, COWS, MILK, LICENSED HERD - OPERATIONS WITH INVENTORY, AVG",OPERATIONS,"1,440"
2015,ANNUAL,YEAR,COLORADO,CO,08,"CATTLE, COWS, MILK, LICENSED HERD - OPERATIONS WITH INVENTORY, AVG",OPERATIONS,120
2015,ANNUAL,YEAR,CONNECTICUT,CT,09,"CATTLE, COWS, MILK, LICENSED HERD - OPERATIONS WITH INVENTORY, AVG",OPERATIONS,120
2015,ANNUAL,YEAR,DELAWARE,DE,10,"CATTLE, COWS, MILK, LICENSED HERD - OPERATIONS WITH INVENTORY, AVG",OPERATIONS,35
2015,ANNUAL,YEAR,FLORIDA,FL,12,"CATTLE, COWS, MILK, LICENSED HERD - OPERATIONS WITH INVENTORY, AVG",OPERATIONS,130
2015,ANNUAL,YEAR,GEORGIA,GA,13,"CATTLE, COWS, MILK, LICENSED HERD - OPERATIONS WITH INVENTORY, AVG",OPERATIONS,220
2015,ANNUAL,YEAR,HAWAII,HI,15,"CATTLE, COWS, MILK, LICENSED HERD - OPERATIONS WITH INVENTORY, AVG",OPERATIONS,2
2015,ANNUAL,YEAR,IOWA,IA,19,"CATTLE, COWS, MILK, LICENSED HERD - OPERATIONS WITH INVENTORY, AVG",OPERATIONS,"1,360"
2015,ANNUAL,YEAR,IDAHO,ID,16,"CATTLE, COWS, MILK, LICENSED HERD - OPERATIONS WITH INVENTORY, AVG",OPERATIONS,520
2015,ANNUAL,YEAR,ILLINOIS,IL,17,"CATTLE, COWS, MILK, LICENSED HERD - OPERATIONS WITH INVENTORY, AVG",OPERATIONS,680
2015,ANNUAL,YEAR,INDIANA,IN,18,"CATTLE, COWS, MILK, LICENSED HERD - OPERATIONS WITH INVENTORY, AVG",OPERATIONS,"1,210"
2015,ANNUAL,YEAR,KANSAS,KS,20,"CATTLE, COWS, MILK, LICENSED HERD - OPERATIONS WITH INVENTORY, AVG",OPERATIONS,300
2015,ANNUAL,YEAR,KENTUCKY,KY,21,"CATTLE, COWS, MILK, LICENSED HERD - OPERATIONS WITH INVENTORY, AVG",OPERATIONS,690
2015,ANNUAL,YEAR,LOUISIANA,LA,22,"CATTLE, COWS, MILK, LICENSED HERD - OPERATIONS WITH INVENTORY, AVG",OPERATIONS,110
2015,ANNUAL,YEAR,MASSACHUSETTS,MA,25,"CATTLE, COWS, MILK, LICENSED HERD - OPERATIONS WITH INVENTORY, AVG",OPERATIONS,150
