year,freq_desc,reference_period_desc,state_name,state_alpha,state_fips,short_desc,unit_desc,value
2015,MONTHLY,APR THRU JUN,ALASKA,AK,02,"CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD",HEAD,300
2015,MONTHLY,JAN THRU MAR,ALASKA,AK,02,"CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD",HEAD,300
2015,MONTHLY,JUL THRU SEP,ALASKA,AK,02,"CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD",HEAD,300
2015,MONTHLY,OCT THRU DEC,ALASKA,AK,02,"CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD",HEAD,300
2015,MONTHLY,APR THRU JUN,ALABAMA,AL,01,"CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD",HEAD,"8,000"
2015,MONTHLY,JAN THRU MAR,ALABAMA,AL,01,"CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD",HEAD,"8,000"
2015,MONTHLY,JUL THRU SEP,ALABAMA,AL,01,"CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD",HEAD,"7,500"
2015,MONTHLY,OCT THRU DEC,ALABAMA,AL,01,"CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD",HEAD,"7,000"
2015,MONTHLY,APR THRU JUN,ARKANSAS,AR,05,"CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD",HEAD,"7,000"
2015,MONTHLY,JAN THRU MAR,ARKANSAS,AR,05,"CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD",HEAD,"7,000"
2015,MONTHLY,JUL THRU SEP,ARKANSAS,AR,05,"CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD",HEAD,"7,000"
2015,MONTHLY,OCT THRU DEC,ARKANSAS,AR,05,"CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD",HEAD,"7,000"
2015,MONTHLY,APR,ARIZONA,AZ,04,"CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD",HEAD,"199,000"
2015,MONTHLY,APR THRU JUN,ARIZONA,AZ,04,"CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD",HEAD,"199,000"
2015,MONTHLY,AUG,ARIZONA,AZ,04,"CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD",HEAD,"197,000"
2015,MONTHLY,DEC,ARIZONA,AZ,04,"CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD",HEAD,"199,000"
2015,MONTHLY,FEB,ARIZONA,AZ,04,"CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD",HEAD,"200,000"
2015,MONTHLY,JAN,ARIZONA,AZ,04,"CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD",HEAD,"200,000"
2015,MONTHLY,JAN THRU MAR,ARIZONA,AZ,04,"CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD",HEAD,"200,000"
2015,MONTHLY,JUL,ARIZONA,AZ,04,"CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD",HEAD,"198,000"
2015,MONTHLY,JUL THRU SEP,ARIZONA,AZ,04,"CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD",HEAD,"197,000"
2015,MONTHLY,JUN,ARIZONA,AZ,04,"CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD",HEAD,"198,000"
2015,MONTHLY,MAR,ARIZONA,AZ,04,"CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD",HEAD,"200,000"
2015,MONTHLY,MAY,ARIZONA,AZ,04,"CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD",HEAD,"199,000"
2015,MONTHLY,NOV,ARIZONA,AZ,04,"CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD",HEAD,"198,000"
2015,MONTHLY,OCT,ARIZONA,AZ,04,"CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD",HEAD,"197,000"
2015,MONTHLY,OCT THRU DEC,ARIZONA,AZ,04,"CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD",HEAD,"198,000"
2015,MONTHLY,SEP,ARIZONA,AZ,04,"CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD",HEAD,"197,000"
2015,MONTHLY,APR,CALIFORNIA,CA,06,"CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD",HEAD,"1,777,000"
2015,MONTHLY,APR THRU JUN,CALIFORNIA,CA,06,"CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD",HEAD,"1,777,000"
2015,MONTHLY,AUG,CALIFORNIA,CA,06,"CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD",HEAD,"1,776,000"
2015,MONTHLY,DEC,CALIFORNIA,CA,06,"CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD",HEAD,"1,770,000"
2015,MONTHLY,FEB,CALIFORNIA,CA,06,"CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD",HEAD,"1,779,000"
2015,MONTHLY,JAN,CALIFORNIA,CA,06,"CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD",HEAD,"1,780,000"
2015,MONTHLY,JAN THRU MAR,CALIFORNIA,CA,06,"CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD",HEAD,"1,779,000"
2015,MONTHLY,JUL,CALIFORNIA,CA,06,"CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD",HEAD,"1,777,000"
2015,MONTHLY,JUL THRU SEP,CALIFORNIA,CA,06,"CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD",HEAD,"1,776,000"
2015,MONTHLY,JUN,CALIFORNIA,CA,06,"CATTLE, COWS, MILK - INVENTORY, AVG, MEASURED IN HEAD",HEAD,"1,777,000"
