year,freq_desc,reference_period_desc,state_name,state_alpha,state_fips,short_desc,unit_desc,value
2015,MONTHLY,APR,ARIZONA,AZ,04,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"2,155"
2015,MONTHLY,AUG,ARIZONA,AZ,04,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"1,830"
2015,MONTHLY,DEC,ARIZONA,AZ,04,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"2,010"
2015,MONTHLY,FEB,ARIZONA,AZ,04,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"1,940"
2015,MONTHLY,JAN,ARIZONA,AZ,04,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"2,080"
2015,MONTHLY,JUL,ARIZONA,AZ,04,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"1,955"
2015,MONTHLY,JUN,ARIZONA,AZ,04,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"2,015"
2015,MONTHLY,MAR,ARIZONA,AZ,04,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"2,210"
2015,MONTHLY,MAY,ARIZONA,AZ,04,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"2,165"
2015,MONTHLY,NOV,ARIZONA,AZ,04,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"1,880"
2015,MONTHLY,OCT,ARIZONA,AZ,04,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"1,870"
2015,MONTHLY,SEP,ARIZONA,AZ,04,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"1,735"
2015,MONTHLY,APR,CALIFORNIA,CA,06,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"2,030"
2015,MONTHLY,AUG,CALIFORNIA,CA,06,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"1,880"
2015,MONTHLY,DEC,CALIFORNIA,CA,06,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"1,900"
2015,MONTHLY,FEB,CALIFORNIA,CA,06,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"1,845"
2015,MONTHLY,JAN,CALIFORNIA,CA,06,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"1,985"
2015,MONTHLY,JUL,CALIFORNIA,CA,06,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"1,915"
2015,MONTHLY,JUN,CALIFORNIA,CA,06,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"1,910"
